epoch,train_loss,val_loss,train_energy_rmse,val_energy_rmse,train_force_rmse,val_force_rmse,train_stress_rmse,val_stress_rmse
1,0.1058915314915835,0.05319850146770477,37.09776483642946,13.753285907230255,0.10147346786859453,0.07252265507157124,0.0012428437923527461,0.0006434233696742233
2,0.03761399723097757,0.07313021272420883,13.692337497028145,13.235313481097462,0.05911476932914945,0.08316204055650189,0.0006454315346162718,0.0007987170008461343
3,0.03644593522679835,0.11799788475036621,13.555979353867137,13.808278513784884,0.05505638980073981,0.09661698778670968,0.0007386934454062656,0.001497973546464195
4,0.03241794777515634,0.12680532038211823,10.103129879046659,11.650495424288064,0.05155700814424915,0.10309390904576916,0.0006013818819332317,0.001134101021243313
5,0.03141374197971211,0.10222231596708298,12.622320346223594,13.42955474169398,0.05028404229905803,0.08840335144558663,0.0005356173130781488,0.0010717177077625816
6,0.034852100913851075,0.12612104415893555,13.853273900607672,13.709834977266645,0.0509455444143674,0.09824124276576725,0.0005813744854816419,0.0010688833903110078
7,0.03602236212632337,0.12034682929515839,14.710814974627445,7.115908497512831,0.050132038700156895,0.10509145565967726,0.0005895782337539963,0.0005665501800934086
8,0.02995223450973232,0.2057165801525116,9.924580598605402,16.2648875914175,0.04748498265043469,0.13807103892020048,0.00045261159005888474,0.0006446659057379541
9,0.029352343676990855,0.29142847657203674,10.429119878310086,11.742940674476706,0.0470245142130679,0.165053229295741,0.0004190121099035967,0.0006816545717380299
10,0.041930957819290814,0.2274840772151947,14.376384726466176,12.680774599939182,0.051394878372361986,0.14695504556764952,0.000579708586054056,0.000499516057542436
11,0.03243951954697017,0.1021699532866478,8.875106305057288,6.6944722522982225,0.04689630389314682,0.09265582912604987,0.0004530576416702323,0.0005676791363732745
12,0.03906731475104368,0.08831138163805008,10.792753297984097,15.592463625475306,0.04876966332994281,0.08572168399356306,0.0005229399062575745,0.0005128848932984228
13,0.03650511236966742,0.16158296167850494,11.678467085446984,8.7916505854914,0.047987788341245875,0.11720068028768006,0.0004699254971051602,0.0006322683590176449
14,0.030299531869788794,0.147314190864563,9.35205951959476,6.461898231780257,0.04507414849785962,0.10790159706213458,0.0003890802785461266,0.0006870191326829126
